ik,I
je,you
het,the 
de,the
dat,Which
is,is
een,a
niet,not 
en,and
van,by
wat,what
we,we
in,in
ze,they
hij,he
te,at
zijn,to be
op,on
maar,but
er,there
met,of
voor,for
die,That
heb,have got
me,me
als,as
was,used to be
ben,am
om,to
dit,this
mijn,mine
aan,at
u,you
dan,than
n,n
naar,nasty
weet,know
hier,here
zo,like this
jij,you
kan,can
geen,no
nog,yet
ja,Yes
hem,it
heeft,has
wel,well
moet,must
wil,want to
hebben,to have
goed,good 
haar,hair
nee,new
hoe,how
nu,now
waar,true
over,about
ook,also
doen,to do
uit,from
zou,would
ga,go
of,or
gaan,to go
bent,are
mij,me
bij,Bee
al,already
ons,us
had,had
iets,something
daar,there
jullie,you
gaat,goes
zal,shall
m,m
hebt,have
kom,bowl
waarom,Why
meer,Lake
deze,this one
moeten,should
t,t
laat,leave
kunnen,can
dus,So
jou,you
denk,think
wie,Who
alles,everything
echt,real
doe,off
door,by means of
alleen,only
s,s
toch,However
zien,see
weg,away
eens,once
man,man
misschien,maybe
laten,to leave
nooit,never
nou,Well
zei,said
terug,back
oké,Okay
mee,along
niets,nothing
iemand,someone
komt,coming
toen,then
veel,loads of
even,for a bit
onze,our
gewoon,just
weten,know
komen,come
nodig,necessary
mensen,people
tot,until
worden,become
zeggen,say
tijd,time
weer,again
leven,to live
twee,two
net,just
tegen,against
maken,to make
uw,your
zeg,say
omdat,because
zit,sit
wordt,is becoming
z,Z
hou,keep
kijk,look
heel,all
wij,we 
altijd,all the time
mag,allowed
gedaan,done
dood,dead
zeker,secure
af,off
jaar,year
hun,their
wilde,wild
dag,day
allemaal,all of them
jouw,your
huis,House
dacht,thought
doet,is doing
vader,father
kunt,can
wacht,guard
zie,see 
vrouw,woman
keer,time
andere,Others
zoals,like
zij,she
dank,thanks
anders,different
geef,give
waren,goods
willen,want
zich,herself
bedankt,thanks
één,a
mr,MR
erg,terribly
wilt,want
praten,to talk
spijt,regret
geld,money
kon,could
werk,work
oh,Oh
iedereen,everybody
beter,better
werd,became
moeder,mother
niemand,nobody
vinden,find
staat,stands
gezien,seen
niks,nothing
binnen,within
zitten,sit
zullen,shall
na,after
helpen,help out
wist,knew
vind,find
genoeg,enough
sorry,Sorry
vast,fixed
elkaar,each other
ging,went
uur,o'clock
klaar,finished
hele,whole
neem,take
leuk,nice
natuurlijk,naturally
alle,all
god,God
maak,make
lang,long
kwam,came
graag,Please
hé,Hey
toe,at
drie,three
zegt,say
bedoel,mean
deed,held
dingen,stuff
maakt,make
alsjeblieft,please
eerste,first
krijgen,to get
zonder,without
steeds,still
hallo,Hello
houden,to hold
vertellen,to tell
ziet,sees
idee,idea
geven,to give
achter,behind
geweest,been
blijven,to stay
helemaal,all the way
mooi,pretty
onder,below
kijken,look
zag,saw
goede,good 
naam,name
moest,had to
blijf,stay
kun,abundance
auto,car
luister,listen
grote,great
lijkt,seems
snel,fast
ooit,ever
vragen,ask
paar,couple
wanneer,when
want,because
meneer,sir
nieuwe,new ones
gebeurd,happened
zorgen,to care
vriend,friend
beetje,bit
kinderen,children
gek,freak
hand,hand
vraag,question
laatste,last
geweldig,awesome
hadden,had
zelfs,even
enige,any
bang,anxious
nemen,to take
samen,together
eten,food
o,O
zelf,self
hoor,hear
geleden,past
staan,stand
gevonden,found it
jongen,boy
denken,to think
vandaag,Today
denkt,thinks
beste,Best
gezegd,said
thuis,At home
wereld,world
jongens,boys
heen,to
ken,know
hen,them
eerst,first
eigen,own
zoon,son
gelijk,directly
buiten,Outside
vertel,tell
morgen,tomorrow
meisje,girl
probleem,issue
alsof,as if
geloof,believe
halen,to fetch 
familie,family
elke,each
zouden,would
hoop,heap
politie,Police
mannen,men
bijna,almost
vermoord,murdered
eigenlijk,actually
werken,to work
verdomme,damn
horen,to belong
manier,way
zat,was sitting
vrienden,friends
precies,precisely
kind,child
hè,Hey
kleine,little
begrijp,understand
wou,wish
geeft,gives
orde,order
houdt,holds
verder,further
vroeg,early
stop,Stop
wachten,to wait
rustig,Calm
hoofd,head
krijg,receive
daarom,therefore
gebeurt,happens
soms,sometimes
volgens,according to
dagen,to dawn
vond,found
krijgt,gets
gemaakt,created
kant,side
werkt,works
open,Open
gehad,having
voel,feel
zaak,matter
blij,pleased
volgende,next one
zoek,Search
kans,opportunity
vanavond,this evening
bel,call
probeer,try
zoeken,Search
oude,old
ding,thing
moment,moment
best,best
tussen,among
plaats,Place
pas,pass
gehoord,heard
vijf,five
verteld,told
zet,move
prima,fine
hulp,staff
stad,city
vindt,finds
brengen,bring
pijn,pain
slecht,bad
geloven,to believe
eruit,get out
minuten,minute
school,school
plan,plan
broer,brother
pak,business suit
jezelf,yourself
hoeveel,How much
kamer,room
betekent,stands for
spreken,speak
juist,correct
heet,hot
soort,kind
haal,get
ergens,somewhere
vier,four
gebruiken,use
ligt,lies
blijft,stays
welke,which
proberen,to attempt
dokter,doctor
agent,agent
help,Help
later,later
voordat,before
ogen,eyes
vrij,free
klopt,beats
gaf,gave
foto,photo
word,become
zodat,so that
dochter,daughter
problemen,issues
plek,place
water,water
kent,knows
week,week
beginnen,to start
praat,talking
eerder,earlier
lk,lk
mis,mass
handen,hands
deur,door
baby,baby
bellen,dial
boven,upper
groot,big
echte,real
hoeft,needs
ie,ie
doden,kill
stoppen,fuses
moeilijk,difficult
dr,Dr.
sinds,ever since
land,land
spelen,play
zoveel,that much
hetzelfde,the same
mevrouw,Mrs
snap,snap
breng,bring
pakken,to take
druk,Busy
verhaal,story
lekker,Yummy
vrouwen,women
schat,treasure
vergeten,to forget
gebeuren,to happen
ervan,of it
kreeg,received
waarschijnlijk,probably
hoi,Hi
mogelijk,possibly
mooie,nice
bloed,blood
wees,orphan
nacht,night
nieuws,news
bed,bed
liet,let
lopen,walk
gelukkig,happy
waarheid,truth
reden,rode
papa,Daddy
hoorde,heard
klinkt,sounds
maanden,months
vermoorden,murder
zorg,concern
dollar,dollar
bezig,in process
voorbij,past
terwijl,while
sta,stand
zaken,Affairs
avond,evening
tien,ten
schuld,debt
veilig,safe
redden,to rescue
hart,heart
zult,will
duidelijk,clear
stel,couple
the,the
schiet,shooting
eraan,there
zes,six
begin,get started
gekomen,arrived
vol,full
vriendin,girlfriend
rond,round
voelt,feel
baas,boss
moord,murder
ander,other
klein,small
fijn,fine
jaren,years
mam,mam
lichaam,body
eerlijk,honestly
gezicht,face
ver,far
wakker,wake -up
ouders,parents
zoiets,something like this
leren,to learn
telefoon,phone
los,loose
per,per
mama,mom
nummer,number
fout,error
mogen,be allowed to
meteen,right away
slapen,to sleep
zeer,very
dezelfde,the same
liefde,love
alstublieft,Please
deel,part 
liggen,lie
erop,on top
vaak,often
vallen,traps
belangrijk,important
sterven,die
oud,old
neer,down
buurt,neighborhood
langs,by
houd,loves
rest,rest
stond,was standing
sir,sir
begrepen,understood
drinken,drink
team,team
vertelde,told
beneden,down
vergeet,forgets
vooruit,ahead
mrs,Mrs.
hoort,belongs
baan,track
dicht,closed
inderdaad,indeed
geval,case
zetten,to make
oorlog,war
mezelf,myself
tijdens,during the day
john,John
maakte,feature
kennen,know
gebruikt,used
oke,Okay
geluk,luck
hey,hey
hield,kept
wapen,weapon
kop,head
vertrouwen,to trust
rust,peace
mond,mouth
weken,weeks
elk,each
betalen,Pay
anderen,others
neemt,takes
recht,straight
nam,grabbed
jack,jacket
kantoor,office
gegeven,datum
ermee,with it
overal,everywhere
eén,a
daarna,then
tweede,second
onderzoek,research
welkom,welcome
hard,hard
liever,rather
bewijs,evidence
vanaf,from
aardig,friendly
klootzak,asshole
stuk,broken
woord,word
veranderen,change
zin,sentence
straks,soon
vent,guy
zus,sister
haat,hate
vandaan,from
miss,miss
lieverd,darling
zichzelf,itself
nieuw,new
ontmoeten,Meet
werden,be
allebei,both
minder,less
pap,dad
nergens,nowhere
kwaad,pissed off
sam,sam
erin,there
ervoor,before
kerel,dude
gisteren,yesterday
ontmoet,meet
miljoen,million
ok,OK
film,movie
verloren,lost
probeerde,tried
gebeld,called
new,new
antwoord,answer
noemen,to mention
informatie,information
boek,book
stil,quiet
kapitein,captain
kwijt,lost
enkel,single
valt,fall
boos,angry
licht,light
geworden,have become
pa,pa
persoon,person
konden,abundance
beschermen,to protect
slechte,poor
ziekenhuis,Hopital
gevoel,feeling
gegaan,gone
voorzichtig,carefully
hond,dog
rijden,to ride
eindelijk,Finally
gesproken,spoken
meisjes,girls
aarde,soil
ten,at
normaal,normal
grappig,funny
heren,Men
voelen,to feel
moordenaar,killer
mens,man
president,president
nogal,rather
gevangenis,jail
loopt,runs
degene,the one
prachtig,beautiful
hoezo,how so
kopen,to buy
vechten,fight
punt,point
vreemd,strange
trouwen,Marry
contact,Contact
verkeerd,wrong
meen,mean
koffie,coffee
verwacht,expected
schip,ship
ziek,ill
plezier,pleasure
einde,end
stap,step
advocaat,lawyer
begint,begins
begon,began
enkele,a few
erbij,there
gang,course
gebeurde,happened
heer,gentleman
herinner,remember
jezus,Jesus
opnieuw,again
serieus,serious
zomaar,just like that
pardon,excuse me
gevraagd,sought -after
controle,check
getrouwd,married
daarmee,with that
spel,game
bedoelt,intended
perfect,perfect
stellen,set
juiste,right one
koning,king
beloof,promise
grond,ground
waard,worth
winnen,to win
nadat,once
gebruik,usage
naartoe,to
begrijpen,to understand
veranderd,changed
acht,eight
he,Hey
gingen,went
kwamen,arrive
leeft,lives
leg,put
gekregen,got
langer,longer
verliezen,losses
vroeger,back in the days
lucht,sky
wapens,weapons
verlaten,leave
probeert,tries
dames,ladies
seks,sex
schieten,shoot
toekomst,future
behalve,except
slim,smart
meest,most
stuur,send
leger,army
woorden,words
zeven,seven
brengt,brings
charlie,Charlie
half,half
hierheen,here
trots,pride
spullen,stuff
geheim,secret
helpt,helps
vraagt,requires
michael,Michael
weinig,few
ongeveer,about
schatje,darling
sommige,some
makkelijk,comfortable
kracht,power
gedood,killed
gestolen,stolen
tenminste,at least
lange,long
ongeluk,accident
frank,Frank
zodra,as soon
werkte,work
wilden,wild ones
eet,eat
slechts,only
lief,sweet
nietwaar,not true
relatie,relation
trek,migration
afgelopen,past
val,fall
volgen,follow
ter,ter
voelde,felt
bekend,known
bewijzen,prove
hoef,hoof
via,through
oom,uncle
loop,run
belde,call
lijken,appear
sturen,to steer
men,men
slachtoffer,victim
george,George
genomen,taken
maand,month
onzin,nonsense
meid,girl
york,York
erger,worse
idioot,idiot
ziens,see
dienst,shift
erover,over
feest,party
leek,seemed
vreselijk,horrible
eentje,one
gevaar,danger
wonen,live
grootste,great
succes,good luck
vertrekken,leave
jawel,Yes
muziek,music
mocht,for
raar,weird
slaap,sleep
joe,Joe
absoluut,absolute
vorige,previous
ruimte,room
ieder,everyone
schuldig,guilty
goeie,good
begonnen,started
luisteren,listen
sterk,strong
omhoog,upwards
totdat,until
afspraak,appointment
lezen,read
zwarte,black
vanwege,because of
hemel,heaven
tenzij,unless
gisteravond,yesterday evening
begrijpt,understand
ene,one
lag,lag
naast,next
vooral,mainly
fantastisch,fantastic
gered,saved
viel,fell
trouwens,Incidentally
uh,uh
bank,Bank
pistool,pistol
noem,call
bedrijf,company
camera,camera
blijkbaar,evidently
woont,lives
verkopen,to sell
beide,both
zolang,so long
straat,street
mike,Mike
geest,spirit
david,David
vuur,fire
peter,Peter
verkeerde,wrong
moesten,had to
lieve,dear
tom,Tom
geprobeerd,tried
meeste,most
kijkt,looks
stierf,died
hotel,hotel
droom,dream
verliefd,in love
jammer,Unfortunately
gedacht,thought
let,note
rug,back
vertaling,translation
slaan,to beat
gaten,holes
doel,goal
meter,meter
drugs,drug
gevaarlijk,dangerous
geweldige,great
lijst,list
fbi,FBI
namen,take
deden,did
jonge,young
schelen,care
goedemorgen,good morning
dragen,wear
iedere,each
excuseer,excuse
stom,stupid
jong,young
zover,as far
betaald,paid
kende,knew
kleren,clothes
gesprek,conversation
lukt,succeeds
welk,which
vertelt,tells
prijs,price
voorstellen,introduce
huwelijk,wedding
tv,TV
missen,to miss
schrijven,write
groep,group
herinneren,remember
regels,lines
vonden,found
vliegtuig,plane
onderweg,en route
delen,parts
geleerd,learned
stomme,stupid
bestaat,consists
james,James
vertrouw,trust
daarvoor,therefor
shit,shit
trekken,Pull
zak,bag
vanuit,from
gebracht,brought
stem,voice
gezin,family
keuze,choice
raken,touch
direct,straight away
verdomde,damn
boot,boat
dom,stupid
verleden,past
gemist,missed
duurt,takes
gedachten,thoughts
situatie,situation
moe,tired
deal,deal
tafel,table
band,band
generaal,general
reis,trip
partner,partner
leuke,nice
raad,council
honger,hungry
geraakt,touched
gebouw,building
zwaar,heavy
gast,guest
gestuurd,steered
geboren,born
bracht,brought
rechter,judge
agenten,agents
bureau,desk
macht,power
spreek,speak
derde,third
regel,rule
kolonel,colonel
ruzie,row
oma,Grandma
zeiden,said
speelt,plays
dronken,drunk
vliegen,fly
luitenant,lieutenant
gelooft,believes
arme,poor
seconden,second
liep,walked
tuurlijk,of course
red,red
gefeliciteerd,congratulations
koud,cold
regelen,to arrange
henry,Henry
bericht,message
vlucht,flight
moeite,trouble
hel,hell
dame,Lady
oog,eye
ma,ma
dansen,dancing
teken,sign
onmogelijk,impossible
gewerkt,worked
helaas,unfortunately
grapje,just kidding
arm,arm
show,show
lachen,laugh
leggen,lay
sleutel,key
wet,law
liefje,sweetheart
keek,watched
paul,Paul
alex,Alex
aantal,number of
zoekt,searches
extra,additional
zweer,swear
leiden,lead
harry,Harry
mary,Mary
lijk,dead body
kapot,Broken
bleef,Remained
sneller,faster
gebroken,broken
uiteindelijk,in the end
verdwenen,gone
kaart,Map
kerk,church
mijne,mine
dode,dead
brand,fire
i,I
max,max
betrokken,concerned
wegwezen,get out
plannen,plan
volg,follow
lastig,tricky
tijdje,while
negen,nine
gebied,area
beiden,both
eind,end
operatie,operation
diep,deep
persoonlijk,in person
liegen,to lie
zwanger,pregnant
club,club
respect,respect
steek,lurch
waarvoor,for which
missie,mission
cool,cool
danny,Danny
amerika,America
zon,Sun
kost,cost
paard,horse
waarop,on which
maat,mate
brief,letter
raak,striking
rijk,rich
rij,queue
risico,risk
meestal,mostly
witte,white
getuige,witness
kwalijk,bad
rechercheur,detective
schoenen,shoes
bar,bar
hoeven,hooves
midden,middle
hopelijk,hopefully
lijn,line
eer,honour
gezet,set
zuster,sister
bal,ball
a,a
sprak,spoke
aanval,attack
aandacht,attention
kiezen,select
komaan,come on
rode,red
meiden,fellow girls
amerikaanse,American
adres,address
zee,sea
hoog,high
feestje,party
gekocht,purchased
bevel,order
wedstrijd,contest
sluiten,Close
daarvan,of them
jimmy,Jimmy
volledig,fully
rot,rotten
les,grade
ziel,soul
interessant,interesting
slag,battle
sluit,closing
zelfmoord,suicide
computer,computer
planeet,planet
bereiken,to achieve
verdachte,suspect
sarah,Sarah
gelezen,read
uitleggen,to explain
beloofd,promised
laatst,last
winkel,store
zul,such
wagen,car
angst,fear
muur,wall
leeg,empty
bezoek,visit
stelen,to steal
gewonnen,won
positie,position
wisten,knew
sheriff,sheriff
bekijken,see
helft,half
r,r
warm,warmly
keus,choice
vanmorgen,this morning
park,park
zulke,such
nick,Nick
heerlijk,lovely
gevallen,cases
zaten,sat
rennen,run
gewond,injured
sergeant,sergeant
volk,people
dieren,animal
kort,short
spreekt,speaks
ah,Ah
allen,all
tony,Tony
verdient,earnings
onderzoeken,to investigate
haast,rush
dromen,to dream
systeem,system
meester,master
kont,ass
enig,any
ontdekt,discovers
verkocht,sold
tante,aunt
bewegen,to move
geschreven,written
groter,taller
neus,nose
ach,oh
verklaring,declaration
broek,pants
verdienen,to deserve
speel,play
hangt,hangs
vijand,enemy
gelukt,success
verschillende,various
speciale,special one
verrassing,surprise
vreemde,stranger
sla,salad
geschiedenis,history
erachter,behind
lul,dick
bezorgd,Worried
hoogte,height
vrede,peace
meegenomen,brought
zagen,saws
liegt,lies
bus,bus
belachelijk,ridiculous
betere,better
raam,windown
wijn,wine
mes,knife
ontslagen,laid off
geheime,secret
gehouden,kept
weggaan,go away
weekend,weekend
eh,eh
excuses,apologies
getuigen,to give evidence
jim,Jim
bom,bomb
inspecteur,inspector
gehaald,achieved
spoor,track
held,hero
benen,legs
dachten,thought
waarvan,from what
tas,bag
thee,tea
ray,ray
jane,Jane
overleven,to survive
belt,call
meenemen,take
nek,neck
gevecht,battle
bestaan,to exist
ongelooflijk,incredible
slachtoffers,victims
drink,drink
ring,ring
donker,dark
links,left
dichtbij,close to
bereid,prepared
feit,fact
vriendje,boyfriend
professor,professor
verschil,difference
collega,colleague
spul,stuff
boeken,books
slaat,hit
will,will
alweer,again
rekening,account
gooi,throw
beslissing,decision
verlies,loss
been,leg
verjaardag,birthday
lift,elevator
tommy,Tommy
bob,Bob
koningin,queen
teveel,too much
levend,living
waarmee,by which
raakt,hits
draagt,wears
verandert,changes
trein,train
da,da
monster,sample
raakte,gag
sporen,tracks
opa,grandpa
zingen,to sing
voeten,feet
lot,lot
richting,direction
knap,good looking
duren,last
speciaal,special
gebruikte,used
gestopt,stopped
hoge,high
gesloten,Closed
boord,board
bedoelde,meant
gepakt,packed
you,You
draai,play
vannacht,tonight
ijs,ice
enorme,huge
reed,drove
beurt,turn
koop,purchase
appartement,apartment
cel,cell
d,D
begraven,to bury
indruk,impression
vlees,meat
strijd,conflict
ochtend,morning
keuken,kitchen
energie,energy
vernietigen,destroy
geregeld,regularly
plaatsen,places
gevoelens,feelings
last,burden
la,la
bedanken,to thank
ophouden,to hold up
hangen,to hang
kennis,knowledge
bill,Bill
patiënt,patient
zware,heavy
basis,base
kat,cat
glas,glass
sloeg,Slag
dankzij,thanks to
dader,perpetrator
gasten,guests
zwart,black
betaal,pay
adem,breath
richard,Richard
boodschap,errand
grap,joke
bos,bunch
geholpen,assisted
godsnaam,God sake
prachtige,gorgeous
neergeschoten,shot
werkelijk,actually
gestorven,died
huilen,to cry
commandant,commander
billy,Billy
soldaten,soldiers
jake,jake
jurk,dress
gevangen,caught
veiligheid,safety
hoek,corner
hiermee,with this
afstand,distance
kilometer,kilometer
regering,government
stoel,chair
onschuldig,innocent
kogel,ball
londen,London
vlak,right
stuurde,steered
fijne,nice
waarin,in which
voet,foot
haalt,fetches
ontsnappen,escape
gooien,throw
rechts,right
ineens,suddenly
ouwe,old
test,test
toestemming,permission
wraak,revenge
breken,break
rol,role
opschieten,Hurry up
kalm,calm
goud,gold
verantwoordelijk,responsible
enorm,enormous
bespreken,discuss
noemt,mentions
verdorie,damn
ervaring,experience
soldaat,soldier
gepraat,talking
steve,Steve
mark,Mark
totaal,total
and,and
gratis,free
overleden,passed away
moorden,kill
eiland,Island
beeld,image
passen,fit
leeftijd,age
noemde,mentioned
tekenen,draw
doorgaan,Get on
boom,tree
uitzoeken,investigate
dak,roof
besloten,decided
lunch,lunch
ryan,Ryan
vele,many
schoon,beautiful
controleren,to check
gearresteerd,arrested
schoot,shot
eraf,off
achteruit,backwards
johnny,Johnny
belangrijke,important
lees,read
perfecte,perfect
dorp,village
eikel,jerk
bobby,Bobby
dossier,file
past,suits
code,code
vieren,to celebrate
geluid,sound
homo,homo
verschrikkelijk,terrible
stelt,stilt
slaapt,sleeps
bier,beer
dna,DNA
hoelang,how long
eenmaal,once
simpel,easy
zocht,sought
blauwe,blue
stukje,piece
vermist,missing
zorgt,worries
gat,hole
ouder,older
kate,Kate
schrijf,writing
schreef,wrote
wens,wish
geslagen,beaten
parijs,Paris
toevallig,chance
leiding,pipe
edelachtbare,prevailable
bouwen,to build
geweten,known
heilige,holy
restaurant,restaurant
sterft,dies
toegang,access
verbergen,hide
draait,turns
leidt,leading
armen,poor
luke,Luke
taak,task
ware,true
lab,lab
misdaad,crime
nadenken,think it over
vakantie,holidays
behoorlijk,fairly
sleutels,Keys
video,video
levens,lifetime
geniet,enjoy
draaien,to turn
vertrek,departure
betreft,Re
eric,Eric
slot,key lock
ms,ms
verpest,ruined
proces,process
opdracht,assignment
programma,program
klote,lick
leider,leader
actie,action
waardoor,as a result of which
antwoorden,answer
gezeten,sitting
bruiloft,wedding
vorm,form
woon,living
directeur,director
cliënt,client
goedenavond,good evening
advies,advice
hoewel,although
eddie,Eddie
chris,Chris
uren,hours
welterusten,good night
tijden,times
volwassen,grown up
vuile,dirty
majoor,major
radio,radio
aangenaam,nice to meet you
drankje,drink
maan,Moon
kregen,got
gemakkelijk,easy
vergeef,forgery
klas,class
krant,newspaper
langzaam,slowly
kosten,cost
martin,Martin
procent,per cent
mist,fog
pad,path
vrijheid,freedom
verdwijnen,to disappear
gelogen,lied
beweging,movement
twijfel,doubt
neef,cousin
gemeen,mean
fles,bottle
dol,foolish
draag,carry
vis,fish
waarover,about what
rood,red
hersenen,brain
der,of
verloor,lost
taxi,cab
voorkomen,prevent
medicijnen,medicines
okay,Okay
binnenkort,soon
doos,box
terecht,justly
mening,opinion
geweer,gun
bezit,possess
top,top
wonder,wonder
vergeven,to forgive
stopt,stops
hopen,to hope
thomas,Thomas
ophalen,to pick up
wind,wind
oplossen,to resolve
jaloers,jealous
kevin,Kevin
rachel,rachel
onmiddellijk,immediately
gedrag,behaviour
charles,Charles
stemmen,to vote
ontbijt,breakfast
lol,LOL
walter,Walter
honden,dog
ontvangen,receive
verhalen,stories
rivier,river
twaalf,twelve
voedsel,food
gauw,quickly
volgt,follow
vaker,more often
adam,Adam
keren,turn
klanten,customers
chef,chef
wint,win
brian,Brian
minuut,minute
anna,Anna
detective,detective
verraden,betray
don,Don
geweld,violence
akkoord,agreement
tonen,to show
genoemd,called
gewone,ordinary
papieren,paper
verband,bandage
hoopte,hoped
rare,strange
brug,bridge
jas,jacket
bloemen,flowers
daniel,Daniel
trap,staircase
mijnheer,Sir
aanvallen,to attack
leer,doctrine
street,street
opnemen,to withdraw
robert,Robert
schade,injury
blijkt,turns out
bijzonder,special
huid,skin
krachten,forces
zakken,to fail
openen,to open
arts,doctor
hoer,whore
gestoord,disturbed
scott,scot
gegeten,ate
echtgenoot,husband
bedoeling,intention
durf,dare
trouw,fidelity
bedenken,think about
ergste,worst
bedacht,suspicious
tegenhouden,to prevent
vermoordde,killed
nachts,night
vertrokken,left
knul,kid
engels,English
start,Start
favoriete,favourite
persoonlijke,personal
bepaalde,particular
sommigen,some
yeah,yeah
momentje,just hold on
medische,medical
sexy,sexy
burgemeester,mayor
lee,lee
officier,officer
kussen,To kiss
date,date
ster,star
gezocht,sought
captain,captain
wezen,being
roep,call
details,details
zomer,summer
dikke,thick
ruikt,smells
eigenaar,owner
motor,engine
universiteit,university
hielp,helped
kus,kiss
luistert,listen
gegevens,data
claire,claire
beveiliging,security
nagedacht,thought
lisa,Lisa
gekozen,chosen
betaalt,pays
betekenen,mean
verborgen,hidden
publiek,public
carrière,career
tanden,teeth
amy,Amy
rapport,report
super,super
vrije,free
geheimen,secrets
opeens,suddenly
beest,beast
afgesproken,agreed to meet
halve,half
rijdt,drives
belangrijkste,main
kamp,camp
leef,living
washington,Washington
steun,support
afdeling,department
honderd,hundred
vorig,last
rook,smoke
boel,lot
vecht,Vecht
strand,beach
jason,Jason
magie,magic
oplossing,solution
type,type
rusten,rest
droeg,wore
wellicht,perhaps
beelden,images
genaamd,called
terugkomen,coming back
voeren,feed
waardeer,appreciate
nauwelijks,barely
bad,bath
bieden,offer
geïnteresseerd,interested
verlaat,leaves
duivel,devil
overkomen,come across
speelde,played
pond,lb
ballen,ball
duizenden,thousands
gedoe,soil
city,City
nerveus,nervous
locatie,Location
blik,look
doelwit,target
gekke,silly
meegemaakt,experienced
twintig,twenty
emily,Emily
klant,customer
kerels,guy
loog,lye
post,post
aangevallen,attacked
oren,ear
emma,Emma
springen,to jump
gevolgd,followed
releases,releases
lach,smile
ontmoette,met
zwak,weak
engeland,England
ziekte,disease
sterren,stars
kyle,kyle
trekt,pulls
toilet,toilet
steen,stone
logisch,logically
landen,Nations
geloofde,believed
fouten,faults
verwachten,to expect
leo,leo
dankbaar,satisfying
veroorzaakt,causes
duizend,thousand
wow,wow
aangedaan,affected
andy,Andy
jury,jury
verslaan,defeat
vangen,to catch
christus,Christ
maria,Mary
testen,to test
grens,border
paniek,panic
nogmaals,once again
telefoontje,phone
steken,stiches
jesse,Jesse
pete,pete
ontsnapt,Escaped
herinnert,remember
paarden,horses
vaders,fathers
theorie,theory
kleur,color
prins,Prince
vissen,fishing
bron,source
lid,member
drank,drink
vergadering,meeting
gebleven,remained
meerdere,multiple
ondanks,despite
machine,machine
moeders,mothers
signaal,signal
geslapen,slept
lijden,suffering
stappen,to step
carter,carter
eeuwig,eternal
vreselijke,terrible
km,km
matt,matt
doodde,kill
dik,fat
verkoop,sale
rechtbank,court of law
harde,tough
genezen,cured
begrafenis,funeral
veld,field
straf,punishment
uitgenodigd,invited
laag,low
grace,Grace
kies,molar
wiens,whose
william,William
schattig,cute
dr.,Dr.
schot,shot
vijanden,enemies
neuken,fuck
broers,brothers
jagen,to hunt
tevreden,satisfied
gaven,give
taart,pie
domme,stupid
flat,flat
manieren,manners
afmaken,finish up
vriendelijk,friendly
san,san
sterker,stronger
vluchten,to flee
pers,press
project,project
st,stem
vertrekt,leaves
belang,interest
frankrijk,France
lukken,work
geschoten,shot
prinses,princess
zwaard,sword
aandoen,to put on
arthur,Arthur
annie,Annie
