ik,I
makkelijker,easier
gedragen,to behave
bende,gang
ernstig,serious
gezond,healthy
jouwe,yours
vingers,fingers
las,weld
arresteren,to arrest
tuin,garden
ideeën,ideas
korte,short
gelaten,resistant
sean,Sean
duitse,German
vrijdag,Friday
opstaan,rise
kunst,art
sterke,strong
afscheid,goodbye
menselijke,human
minister,minister
clark,clark
coach,coach
verboden,forbidden
kelder,cellar
gezelschap,company
bijvoorbeeld,for example
achtergelaten,abandoned
duur,expensive
compleet,completely
to,to
eng,scary
toeval,chance
snapt,gets
hiervan,thus
miljoenen,millions
simon,Simon
jerry,Jerry
war,war
melk,milk
kelly,Kelly
lui,lazy
genieten,to enjoy
aannemen,take
uitstekend,excellent
tegenover,opposite
dichterbij,closer
chicago,chicago
kocht,bought
stuurt,steering
volle,full
schijnt,appears
lenen,to lend
moed,courage
alice,Alice
vergissing,mistake
patiënten,patient
toon,tone
normale,normal
broeder,brother
kaarten,Cards
films,films
reizen,to travel
ruim,roomy
herinneringen,memories
gedachte,thought
saai,boring
joey,Joey
roken,to smoke
truck,truck
gaaf,great
tegenwoordig,nowadays
kwestie,matter
zette,set
opzij,sidewalk
gaande,going on
omgeving,environment
kip,chicken
verstopt,constipated
leerde,learned
vanochtend,this morning
kast,closet
officieel,officially
aanbod,offer
sms,text message
vernietigd,destroyed
verliest,loses
menselijk,human
contract,contract
lady,lady
mooiste,most beautiful
flink,considerable
majesteit,majesty
cia,C.I.A
carl,Carl
sukkel,softy
stopte,stopped
haalde,gathered
verdiend,earned
genoegen,pleasure
senator,senator
buren,neighbors
alan,Alan
internet,internet
vloer,floor
zwemmen,swimming
taylor,Taylor
bedoeld,meant
opgesloten,locked up
ontslag,dismissal
bekijk,look at
borst,chest
schreeuwen,shout
bevalt,pleases
hoger,higher
blanke,White person
redenen,reasons
harder,harder
ed,Ed
ontvoerd,abducted
vasthouden,to hold
dave,Dave
lucy,Lucy
behandelen,to treat
berg,mountain
noorden,north
opgeven,to report
bepaald,certain
spelletje,game
maatje,Buddy
daardoor,thereby
omstandigheden,circumstances
opgelost,dissolved
heus,real
koken,Cook
vingerafdrukken,fingerprints
trut,bitch
eenvoudig,simple
hiervoor,for this
stukken,pieces
tent,tent
pauze,pause
raden,to guess
roepen,call
leugenaar,liar
bek,beak
vervangen,to replace
alarm,alarm
interesse,interest
talent,talent
bereikt,reaches
amerikanen,Americans
kanker,cancer
ted,ted
aangezien,as
beslissen,decide
des,des
rose,rose
cadeau,gift
mexico,Mexico
kerst,Christmas
louis,Louis
invloed,influence
geheugen,memory
station,station
doorheen,through
vogel,bird
verantwoordelijkheid,responsibility
pillen,pills
rome,Rome
diner,dinner
besluit,decision
vlug,rapid
deuren,doors
woonde,lived
west,west
huh,huh
verstand,mind
moeilijke,difficult
juffrouw,lady
bescherming,protection
quality,quality
stilte,Silence
bak,bin
papier,paper
erom,about
volledige,sufficient
zojuist,just now
kilo,kilo
chuck,chuck
vormen,forms
vaarwel,farewell
storm,storm
hoed,hat
leugen,lie
ambulance,ambulance
opgenomen,Hospitalized
beslist,specifically
pizza,Pizza
verdween,disappeared
ontdekken,to discover
eenheid,unit
verzoek,request
overtuigen,convince
militaire,military
kogels,bullets
toegeven,to admit
smith,smith
gedronken,drunk
high,high
quantity,quantity
gekeken,looked
phil,Phil
cent,penny
punten,points
reet,ass
garage,garage
vrees,fear
big,pig
kluis,safe
slaapkamer,bedroom
vandoor,off
wit,white
bezoeken,visits
politiek,politics
mogelijkheid,opportunity
vertrok,departure
jackson,Jackson
verdomd,damn
vervelend,annoying
vs,US
rekenen,to calculate
klap,hole
aanbieden,offer
abby,abby
streek,region
zaterdag,Saturday
uwe,yours
zicht,view
jones,Jones
elf,eleven
gewend,accustomed
reactie,response
jazeker,"Yes, of course"
blauw,blue
herken,to recognise
verbonden,connected
reken,calculation
schoonheid,beauty
ho,hor
hank,hank
klus,job
verandering,change
vermoordt,killed
accepteren,accept
biertje,beer
roger,Roger
helen,heal
gebouwd,built
aankomen,arrive
trok,pulled
larry,Larry
verhuizen,moving away
waarde,where the
troep,rubbish
kust,coast
graf,grave
dans,dance
verdediging,defense
bleek,pale
taal,language
grotere,greater
dier,animal
aanklacht,indictment
overheid,government
wed,waving
lossen,unload
huizen,houses
uiteraard,naturally
gerust,restless
manager,manager
verdedigen,to defend
valse,false
lieten,let
westen,West
amper,barely
bekeken,Viewed
stal,stable
job,Job
maakten,made
niveau,level
binnenkomen,enter
poging,attempt
behandeld,treated
overtuigd,convinced
gewacht,waited
stroom,flow
wetenschap,science
momenteel,currently
wauw,Wow
liedje,song
vals,false
vincent,Vincent
onderzocht,investigated
duurde,lasted
lily,Lily
josh,Josh
keel,throat
schepen,ships
gouden,golden
blind,blind
achterlaten,leave behind
gevangene,prisoner
robin,Robin
voordeel,benefit
gevangenen,prison
eieren,Eggs
verbrand,burnt
geduld,patience
eeuw,century
europa,Europe
gescheiden,divorced
snelheid,speed
aardige,nicely
gary,gary
rotzooi,mess
heette,was called
brak,broke
lichamen,bodies
bidden,to pray
natuur,nature
maggie,maggia
wijs,show
buik,belly
vinger,finger
king,king
gespeeld,played
feiten,facts
virus,virus
ha,ha
jeff,Jeff
plus,plus
groene,green
bomen,trees
personeel,staff
patrick,Patrick
karen,pile
pakt,grabs
plekken,spots
commissaris,Commissioner
sara,Sara
zuiden,south
rechten,right
veranderde,changed
stof,dust
badkamer,bathroom
leugens,lies
zondag,Sunday
erheen,there
smaak,taste
aanwezig,present
leraar,teacher
maandag,Monday
verliet,left
leefde,lived
it,IT
pakte,grabbed
franse,French
bergen,mountains
duitsers,Germans
woede,fury
studeren,to study
sliep,slept
kleding,clothing
stonden,stood
troepen,troop
eindigen,end
feite,feite
hemelsnaam,heaven's sake
groeien,grow
dean,Dean
piloot,pilot
geesten,ghost
controleer,check
verslag,report
ex,ex
julia,Julia
heks,witch
daarbij,thereby
waarschuwen,warn
julie,Julie
victor,Victor
jenny,Jenny
melden,report
elizabeth,Elizabeth
oceaan,ocean
gas,gas
goden,gods
mogelijke,possible
voorlopig,for the time being
verslagen,defeated
gepland,planned
verdacht,suspicious
opgepakt,picked up
susan,Susan
privé,privately
voren,forward
stan,stan
knappe,cleverly
koffer,Suitcase
zonde,shame
naakt,naked
neen,no
plegen,commit
excuus,excuse
verrast,surprised
dienen,serve
graden,degree
ongelofelijk,incredible
haten,hate
ervandoor,run
opgewonden,agitated
sterf,die
dubbele,double
tim,Tim
boerderij,farm
rijke,rich
morgan,morgan
bord,plate
honderden,hundreds
klootzakken,bastards
herstellen,to recover
schrijft,writes
wc,WC
ernaar,to it
lord,Lord
besloot,decided
behandeling,therapy
morgenochtend,tomorrow morning
doc,doctrine
orders,orders
tong,tongue
hitler,Hitler
vanmiddag,this afternoon
redt,saves
ruil,exchange
nathan,Nathan
verklaren,to declare
lieg,lie
kim,Kim
sync,sync
leert,learns
tegelijk,at the same time
marine,navy
champagne,Champagne
liefste,Dear
genade,grace
chauffeur,driver
wensen,wishes
verdien,earn
qoq,QoQ
godverdomme,Goddamnit
eenzaam,lonely
wegens,due to
voorstel,proposal
gouverneur,governor
graven,to dig
terrein,grounds
ontmoeting,meeting
telt,counts
handel,trade
zwijgen,silence
ademen,to breathe
koos,koos
um,um
horloge,watch
staten,states
ronde,round
daarover,about that
verloofde,fiancé
pot,pot
donkere,dark
afspraakje,date
pensioen,pension
vrolijk,cheerful
poort,gate
hoefde,needed
gunst,favor
artikel,article
overval,anywhere
belangrijker,more important
netjes,decently
knieën,knees
slimme,smart
aanraken,touch
reputatie,reputation
ontdekte,discover
ruik,smell
brood,bread
russische,Russian
vogels,birds
partij,side
verstoppen,to hide
komst,arrival
verdieping,floor
dief,thief
voorbeeld,sample
geur,odor
dichter,poet
vliegveld,airport
markt,market
burgers,citizens
centrum,Centre
volgde,follow the
ontzettend,horrible
beer,bear
alibi,alibi
terugkomt,returns
brieven,letters
minstens,at least
whisky,whiskey
onschuldige,innocent
stenen,stone
universum,universe
gezondheid,health
daarheen,there
wijze,wise
britse,British
b,b
komende,up
kerstmis,Christmas
haven,port
huur,rent
plicht,duty
assistent,assistant
omgaan,To hang out
ross,ross
fan,fan
materiaal,material
laura,Laura
hartelijk,warmly
doug,Doug
charlotte,Charlotte
online,online
onszelf,ourselves
stelde,suggest
shirt,shirt
sally,Sally
bevelen,command
vergat,forgotten
priester,priest
meent,believes
zelfde,same
dossiers,files
proost,cheers
kloppen,to knock
gekend,known
vierde,fourth
kaas,cheese
opzoeken,to look up
schrikken,to startle
amanda,Amanda
gepleegd,committed
daarin,in there
optreden,performance
April,April
veilige,safe
marcus,Marcus
beroep,profession
black,black
motief,motive
molly,Molly
betaalde,paid
lucas,Lucas
verderop,beyond
jacht,hunt
scheiden,divorce
jeugd,youth
lokale,local
engel,angel
kerstman,Santa Claus
doei,bye
toestand,status
technologie,technology
gebaseerd,based
lichten,lights
mars,Mars
bovendien,moreover
cijfers,Numbers
bewaren,keep
belofte,promise
vertaald,translated
teleurgesteld,disappointed
vriendschap,friendship
medelijden,pity
fred,Fred
chloe,chloe
ramp,disaster
vegas,vegas
ren,run
verzet,resists
richten,to target
steunen,supports
wolf,Wolf
advocaten,lawyers
dwars,thwarted
oefenen,to practise
bezwaar,objection
bevestigen,to confirm
wijzen,ways
china,China
nachtmerrie,nightmare
jackie,Jackie
groen,green
minst,least
eindigt,ends
verkoopt,sells
zwembad,swimming pool
verdriet,sorrow
winter,winter
afgesloten,locked
geheel,whole
min,minus
verwijderd,deleted
donder,Thunder
mobiel,mobile
monsters,samples
okee,okay
interesseert,interested
leden,members
gooide,threw
muren,walls
koers,course
nat,wet
bekende,known person
waarheen,where to
hierin,in here
uniform,uniform
voorbereid,prepared
wild,wild
regen,rain
drinkt,drinks
studenten,students
bepalen,determine
briefje,note
fuck,fuck
berichten,messages
gok,gamble
voldoende,Enough
samenwerken,collaborate
lekkere,tasty
ruiken,to smell
klok,clock
duitsland,Germany
gemeenschap,community
redelijk,reasonable
wezens,beings
echter,however
getekend,signed
overwinning,victory
rebecca,rebecca
klonk,sounded
onderwerp,topic
verklaart,explains
olie,oil
bewust,consciously
bemanning,crew
tellen,to count
degenen,the ones
overkomt,happens
vertrouwt,trust
hang,halt
tyler,tyler
schoten,shot
seconde,second
geldt,applies
delict,crime
gibbs,gibbs
groeten,regards
maag,stomach
beantwoorden,reply
allerlei,all kinds of
wandelen,to walk
howard,Howard
waarschuwing,warning
gewaarschuwd,warned
begreep,understood
johnson,Johnson
kist,chest
barry,Barry
middelbare,middle
jay,Jay
michelle,Michelle
training,training
texas,Texas
pik,cock
race,race
geliefde,lover
nationale,national
gedeelte,section
wassen,Wash
verwachtte,expected
scheelt,saves
ophangen,hang up
douche,shower
greg,greeg
reageren,react
zwijg,be silent
alcohol,alcohol
stoor,interference
verdiende,deserved
gave,gift
sprong,plunge
bewakers,guards
aangenomen,accepted
model,fashion model
data,dates
oor,ear
hi,Hi
jeetje,Oh dear
spelletjes,games
noch,nor
wedden,bet
meedoen,participate
winst,gain
gereed,ready
middag,afternoon
lijf,body
oliver,Oliver
donna,Donna
onthouden,to remember
daarop,thereon
identiteit,identity
crimineel,criminal
openbaar,public
verpesten,to bully
moordenaars,murderers
bewaker,guardian
andrew,Andrew
beloofde,promised
gods,God
zowel,both
media,media
angela,Angela
letten,look
breekt,breaks
sprake,talk
kansen,chances
explosie,explosion
indrukwekkend,impressive
plotseling,suddenly
schutter,shooter
hekel,dislike
fort,fort
ingewikkeld,complicated
lied,song
vriendinnen,girlfriends
besef,realize
spiegel,mirror
gevochten,fought
lege,empty
onlangs,recently
stand,stand
woestijn,desert
gedwongen,forced
russen,Russians
jamie,jamie
idioten,idiots
gezellig,cozy
lunchen,having lunch
hielden,kept
cooper,shard
seizoen,season
resultaten,Results
pagina,page
frans,French
vlieg,fly
bril,glasses
spannend,exciting
doodt,kills
mensheid,humanity
botten,bone
busje,van
herinnering,memory
olivia,Olivia
kaartje,card
pop,dolly
verschuldigd,owed
gesteld,faulty
hee,hey
tweeën,two
zielig,pathetic
my,mine
terry,terry
parker,parker
hal,hall
letterlijk,literally
banden,tyres
route,route
vliegt,flies
walgelijk,disgusting
gegooid,thrown
smerig,filthy
verwijderen,remove
uitzien,look
beweegt,Moves
hierover,here
mannetje,male
genie,genius
burger,civilian
bedreiging,threat
lef,gut
wilson,Wilson
vlakbij,near
gevolgen,implications
gedag,goodbye
ontslaan,fire
nummers,numbers
verzamelen,collect
jongeman,young man
huiswerk,Homework
house,house
koude,cold
verontschuldigen,to apologize
gevaarlijke,dangerous
lelijk,ugly
verbaasd,suprised
vuil,filthy
ondertussen,meanwhile
gelukkige,happy
leest,is reading
at,ate
cole,Cole
verplaatsen,move
starten,start
gerechtigheid,justice
onderdeel,element
wijst,wage
rick,Rick
ls,LS
afrika,Africa
scheiding,parting
lewis,Lewis
linda,Linda
nate,nate
welnee,no
partners,partners
hoogste,high
snijden,to cut
soorten,types
touw,rope
zijde,silk
ellende,trouble
harvey,Harvey
nep,fake
joden,Jew
klagen,complain
zacht,soft
aap,monkey
won,won
dringend,urgently
teruggaan,going back
eisen,requirements
veroordeeld,convicted
neerschieten,shoot down
vloek,curse
stijl,style
smeek,grubbing
rand,edge
verrader,traitor
tel,count
romantisch,romantic
zorgde,took care
gordon,gordon
stelletje,bunch of
hersens,brain
verdwijnt,disappears
middelen,resources
roept,calls
bruce,bruce
leveren,to deliver
dekking,coverage
onthoud,Remember
hof,court
toby,Toby
politieke,political
cheque,check
schaduw,shadow
kasteel,castle
lagen,lay
dertig,thirty
branden,to burn
leidde,led
resultaat,result
catherine,Catherine
aangekomen,arrived
constant,constantly
hannah,Hannah
waarbij,whereby
wanhopig,in despair
verkracht,rap
jessica,Jessica
winnaar,winner
waardeloos,worthless
merken,brands
californië,California
brown,brown
doctor,doctor
ongerust,worried
snelle,fast
slet,slut
fiets,bicycle
vocht,moisture
opruimen,to clean up
chief,chief
ethan,ethan
daaraan,there
gsm,mobile
gewild,wanted
overeenkomst,agreement
spring,jump
schilderij,painting
middernacht,midnight
brein,brain
richt,steering
onbekende,unknown
vervolgens,thereafter
iemands,someone's
fabriek,factory
geschikt,fit
ontspannen,relax
anne,anne
win,win
broertje,baby brother
gelopen,walked
davis,Davis
apparaat,device
storen,to disturb
handelen,to trade
dwingen,force
optie,option
slang,snake
amen,Amen
student,student
hoorden,heard
opdagen,show up
volkomen,completely
makker,companion
katie,katie
duisternis,darkness
briljant,brilliant
schouder,shoulder
miller,miller
godzijdank,thank God
lacht,laugh
dwaas,foolish
wachtte,waiting
mac,mac
verdrietig,sad
bereik,reach
gozer,guy
gezorgd,arranged
spion,spy
roy,Roy
wond,wound
campagne,campaign
boston,Boston
mogelijkheden,opportunities
dinsdag,Tuesday
lever,liver
avonds,night
weggegaan,gone away
verbinding,link
dek,deck
meegaan,go along
nieuwsgierig,curious
helder,bright
omlaag,down
borsten,breast
oosten,East
namelijk,namely
schande,shame
ondertiteling,subtitle
overeen,correspondence
kanten,lace
warme,warm
gewicht,weight
bedrijven,businesses
derek,the stretch
stront,shit
vet,Fat
geschenk,gift
negeren,ignore
goeds,good
justitie,justice
sneeuw,snow
aanklager,prosecutor
zand,sand
sport,sport
besefte,realized
versie,version
minste,least
hartaanval,heart attack
bo,bos
c,C
as,ash
illegaal,illegal
vertrouwde,trusted
voort,ahead
varken,pig
prettig,pleasant
jacob,Jacob
moge,may
donderdag,Thursday
straten,streets
hout,wood
bovenop,on top of
etentje,dinner
sindsdien,since
vaste,fixed
moeilijker,more difficult
merk,Brand
verdachten,suspect
durft,dares
opgegeven,gave up
weggaat,leave
truc,trick
frankie,Frankie
el,vlas
wegen,weigh
planten,plants
pen,pen
beth,beth
aanwezigheid,presence
stemming,mood
bravo,Bravo
overleefd,surviving
gedurende,during
magische,magical
levende,living
therapie,therapy
geplaatst,placed
grijp,grab
gericht,targeted
voorafging,preceded
duwen,Push
tip,tip
sociale,social
euh,uh
opeten,eat
daarbinnen,inside
beloning,reward
dapper,brave
concentreren,to concentrate
heleboel,a lot
beschikbaar,available
seksuele,sexual
bezorgen,deliver
koopt,buys
hek,fence
lois,Lois
bied,bidding
huidige,current
on,on
achterna,after
verenigde,United
golf,golf
café,Cafe
suiker,sugar
lippen,lip
zuurstof,oxygen
gevoelig,sensitive
herhaal,repeat
hmm,hmm
gras,grass
gekwetst,hurt
smerige,filthy
filmen,to film
daisy,Daisy
tunnel,tunnel
rock,rock
verstandig,wise
organisatie,organization
voorgoed,forever
families,families
betwijfel,doubt
meekomen,come along
geruchten,rumor
angeles,angeles
redde,rescue
doorbrengen,Spending time
puur,pure
stak,stuck
diamanten,diamonds
lading,cargo
miami,Miami
bevestigd,confirmed
stinkt,smelly
inclusief,including
oudere,older
verraad,treason
interview,interview
middel,resourse
geboorte,birth
nicht,niece
momenten,moments
podium,stage
effect,effect
vijftien,fifteen
houding,attitude
veroorzaken,cause
verpleegster,nurse
lig,lying
bibliotheek,library
schrijver,writer
beloven,to promise
identificeren,identify
hut,hut
goedenacht,good night
volgend,next
gecontroleerd,controlled
beroemd,famous
masker,mask
scherp,sharp
sophie,Sophie
trainen,train
kamers,Rooms
quinn,quinn
kampioen,champion
graaf,count
oscar,Oscar
oproep,call
carrie,carria
achterin,in the back
beters,better
veroorloven,to afford
helikopter,helicopter
zekere,certain
gelegd,laid
miljard,billion
vies,dirty
geintje,joke
uitgaan,going out
weleens,sometimes
bruid,bride
voer,feed
praatte,talks
marshall,Marshall
aanwijzingen,Clues
nina,Nina
rusland,Russia
eva,Eva
benzine,gasoline
wegging,was removed
keizer,emperor
vrouwelijke,female
marie,Marie
vince,Vince
voeden,to feed
studio,studio
gif,poison
edward,Edward
uitnodiging,invitation
elena,Elena
grant,grant
probeerden,tried
datje,that you
ketting,chain
schitterend,splendid
velen,many
zekerheid,security
kliniek,clinic
dylan,Dylan
museum,museum
handtekening,signature
bevrijden,to free
ramen,Windows
russell,russell
rechtszaak,lawsuit
dokters,doctors
rijd,drive
kopie,copy
rende,ran
vampier,vampire
personen,persons
tieten,tits
expert,expert
jess,Jess
feesten,celebrate
white,white
zegen,blessing
travis,traveler
rommel,rumbling
mijl,mile
daarbuiten,beyond
opleiding,education
bedenk,recall
jordan,Jordan
carlos,Carlos
live,live
beschermd,protected
roze,pink
legt,lays
walker,walker
flauw,lame
gewoonlijk,usually
telefoontjes,phone calls
pech,bad luck
grootvader,grandfather
junior,junior
voorzitter,chair
miste,missing
owen,Owen
bodem,bottom
gevoeld,felt
repareren,to repair
bewusteloos,unconscious
bommen,bomb
zusje,sister
opname,intake
pols,wrist
herkennen,recognize
hartslag,heartbeat
hete,hot
behoefte,need
oorzaak,cause
kiest,chooses
hill,Hill
brave,good
centrale,central
dochters,daughters
bewezen,proven
danken,thank
gestoken,stung
rat,rat
koekjes,cookies
weglopen,walk away
leuker,nicer
medisch,medical
kopje,Cup
gelegenheid,occasion
zijne,his
grenzen,border
betrapt,got caught
achteren,back
bijeenkomst,meeting
uitdaging,challenge 
onderhandelen,negotiate
overvallen,raids
wayne,Wayne
triest,sad
slagen,to succeed
kruis,crotch
technisch,technical
gooit,throws
fantastische,fantastic
beschermt,protected
beantwoord,answered
positief,positive
vieze,dirty
bewijst,proves
brigadier,brigadier
ogenblik,moment
kalmeer,calm down
hoogheid,highness
droog,dry
admiraal,admiral
schaam,shame
excuseren,excuse
vroegen,asked
kleed,dress
leid,lead
blake,blake
maaltijd,meal
gereden,driven
interessante,interesting
chinese,Chinese
vuren,fire
gezichten,faces
ooh,ooh
fantasie,fantasy
aanpakken,tackle
namens,On behalf of
jeremy,Jeremy
afhandelen,handle
stress,stress
waarschuw,warn
bijbel,Bible
studie,study
kenny,Kenny
ofwel,either
kaartjes,tickets
schema,scheme
gelul,dowel
vers,fresh
biedt,offers
aangeraakt,touched
besteld,ordered
overnemen,to take over
waarderen,appreciate
tranen,tears
ontspan,relax
geopend,open
documenten,documents
mammie,mommy
groots,grand
eventjes,momentarily
boeten,bow
staart,tail
prettige,pleasant
ondervragen,interrogate
schedel,skull
tijdelijk,temporary
overleed,passed
klinken,sound
demon,demon
morgenavond,tomorrow evening
vergist,mistaken
aanslag,scale
florida,Florida
proef,trial
steven,steven
ontstaan,originate
kennelijk,apparently
beslissingen,decisions
sammy,Sammy
vóór,for
smaakt,tastes
soep,soup
nul,zero
green,green
oordeel,judgment
bloeddruk,blood pressure
wegkomt,gets away
hoofdpijn,headache
vijfde,fifth
brad,brad
penny,penny
hieruit,from here
terroristen,terrorists
rekeningen,accounts
pijnlijk,painful
fase,phase
blazen,blow
teef,female dog
jo,Jo
bot,bone
ei,egg
mr.,mr.
beroemde,famous
chaos,chaos
verbaast,surprised
gedumpt,dumped
tekst,text
scène,scene
uitzicht,prospect
vooruitgang,progress
maagd,virgin
mevr,Mrs
bijzondere,special
sex,sex
e-mail,e-mail
lafaard,coward
mei,May
dodelijk,deadly
ian,Ian
carol,Carol
geleid,led
bestellen,to order
plassen,to pee
opgegroeid,grown up
teddy,Teddy
ontvoering,abduction
boze,venomous
affaire,affair
kreng,bitch
verzinnen,invent
sigaret,cigarette
vat,barrel
diane,Diane
dennis,Dennis
verspreiden,to spread
vullen,to fill
vermogen,power
realiteit,reality
doodgaan,die
diegene,hey
betekend,means
pakje,package
buitenlandse,foreign
telkens,every time
slechter,worse
verander,change
promotie,promotion
margaret,Margaret
overstuur,upset
one,one
dominee,pastor
keuzes,choices
bekennen,confess
levert,supplies
williams,Williams
verdwaald,strayed
federale,federal
kranten,newspapers
patroon,cartridge
relaties,relationships
bedreigd,threatened
matthew,Matthew
wetten,law
herkent,recognize
boodschappen,groceries
zenuwachtig,nervous
koninkrijk,kingdom
aanwijzing,instructions
betty,Betty
breek,break
chinees,Chinese
uitvoeren,to carry out
haatte,hate
vrachtwagen,truck
tank,tank
vanzelf,of course
francis,Francis
schone,prawn
beschadigd,damaged
marty,Marty
realiseerde,realized
verbranden,to burn
e,e
klasse,class
riep,called out
onbekend,unknown
humor,Humour
theater,theater
koorts,fever
overheen,across
ingang,Entrance
stabiel,stable
riley,riley
openbare,public
dure,expensive
maya,Maya
noodgeval,emergency
reageert,responds
uitweg,out
jennifer,Jennifer
psychiater,psychiatrist
gedraagt,behave
datum,date
correct,correct
gedraag,behave
nood,need
wiet,weed
little,little
woning,home
caroline,caroline
betekende,meant
instructies,instructions
natuurlijke,natural
ali,ali
wonden,wound
afdrukken,print
netwerk,network
info,info
martha,Martha
periode,period
uitziet,looks
meende,believed
doorlopen,run through
simpele,simple
achtergrond,background
bijzonders,special
broeders,brothers
dubbel,double
afgewezen,turned down
kerstfeest,Christmas
lou,lou
hartstikke,terribly
schuur,barn
veronderstel,assumption
emoties,emotions
achterkant,rear end
schudden,to shake
beschuldigd,accused
kwetsen,hurt
negatief,negative
dick,Dick
engelse,English
arrestatie,arrest
communicatie,communication
vloog,flew
nachten,night
uitmaken,break up
vermiste,missing
hierbij,hereby
hebbes,Got you
allang,a long time already
trappen,to kick
langskomen,come
coma,coma
daad,deed
kut,cunt
knop,knob
bevriend,friendly
geraken,get
malcolm,malcolm
creëren,to create
beslag,seizure
artsen,doctors
nancy,nancy
japan,Japan
logan,logan
beet,bite
doodsbang,terrified
bewaar,keep
casino,casino
afschuwelijk,awful
diefstal,theft
legende,legend
joseph,Joseph
grot,cave
proeven,taste
gesprekken,conversations
grijpen,grab
oppakken,picking up
terugtrekken,to withdraw
bart,Bart
applaus,applause
zoenen,to kiss
toren,tower
eeuwen,centuries
eigendom,property
verschrikkelijke,terrible
criminelen,criminals
bood,bidding
verplicht,obligated
zieke,sick
beweert,claims
strafblad,criminal record
hollywood,Hollywood
voorbereiden,to prepare
vijftig,fifty
zone,zone
loslaten,letting go
casey,casey
connor,connor
portemonnee,wallet
audrey,Audrey
longen,lung
ingehuurd,hired
meegebracht,brought along
gebrek,lack
ruilen,exchange
mankeert,mank
zwakke,weak
aantrekkelijk,attractive
verplaatst,moved
albert,Albert
no,no
uitgeschakeld,turned off
vliegtuigen,airplanes
spencer,spencer
tja,well
dronk,drank
riskeren,risk
weghalen,remove
passie,passion
kandidaat,candidate
smeerlap,bastard
sigaretten,cigarettes
toont,shows
serie,series
status,status
voorzien,to provide
mooier,more beautiful
rit,ride
bescherm,protected
discussie,discussion
medicijn,medicine
booth,booth
rijbewijs,drivers license
miles,miles
televisie,television
meld,report
verzonnen,made up
h,H
aangeboden,offered
ellen,Ellen
ministerie,ministry
daden,deeds
krankzinnig,insane
populair,popular
whoa,WHOA
allison,allison
indianen,native Americans
verzekering,insurance
virginia,Virginia
koelkast,refridgerator
duistere,dark
pest,plague
lemand,Lemand
overgeven,throwing up
arresteer,arrest
nut,usefulness
stervende,dying
ondergoed,underwear
euro,euro
incident,incident
zing,sing
mijzelf,myself
homer,homer
